['shall suffer hunger'],"` But we must provide for the winter or else we shall suffer hunger , ' said the Cat .",,
['silent grasped gun'],"But the Tin-soldier was silent , and grasped his gun more firmly .",,
['boat sped rat'],"The boat sped on , and the rat behind it .",,
['showed teeth cried'],"Ugh !how he showed his teeth , as he cried to the chips of wood and straw : ` Hold him , hold him !",,
['current swifter stronger'],But the current became swifter and stronger .,,
['sounded roaring frighten'],The Tin-soldier could already see daylight where the tunnel ended ; but in his ears there sounded a roaring enough to frighten any brave man .,,
['canal just dangerous'],Only think !at the end of the tunnel the gutter discharged itself into a great canal ; that would be just as dangerous for him as it would be for us to go down a waterfall .,,
['near hold longer'],Now he was so near to it that he could not hold on any longer .,,
['boat poor tin'],"On went the boat , the poor Tin-soldier keeping himself as stiff as he could : no one should say of him afterwards that he had flinched .",,
['boat whirled times'],"The boat whirled three , four times round , and became filled to the brim with water : it began to sink !",,
['sank boat softer'],"The Tin-soldier was standing up to his neck in water , and deeper and deeper sank the boat , and softer and softer grew the paper ; now the water was over his head .",,
['pretty little dancer'],"He was thinking of the pretty little Dancer , whose face he should never see again , and there sounded in his ears , over and over again : ` Forward , forward , soldier bold !",,
['death thee grim'],"Death 's before thee , grim and cold ! '",,
['swallowed great fish'],"The paper came in two , and the soldier fell -- but at that moment he was swallowed by a great fish .",,
['darker tunnel really'],"Oh !how dark it was inside , even darker than in the tunnel , and it was really very close quarters !",,
['length shouldering gun'],"But there the steadfast little Tin-soldier lay full length , shouldering his gun .",,
['fish dreadful contortions'],"Up and down swam the fish , then he made the most dreadful contortions , and became suddenly quite still .",,
['lightning passed daylight'],"Then it was as if a flash of lightning had passed through him ; the daylight streamed in , and a voice exclaimed , ` Why , here is the little Tin-soldier ! '",,
['kitchen cook cut'],"The fish had been caught , taken to market , sold , and brought into the kitchen , where the cook had cut it open with a great knife .",,
['fish tin soldier'],"She took up the soldier between her finger and thumb , and carried him into the room , where everyone wanted to see the hero who had been found inside a fish ; but the Tin-soldier was not at all proud .",,
['table strange things'],"They put him on the table , and -- no , but what strange things do happen in this world !",,
['tin soldier room'],-- the Tin-soldier was in the same room in which he had been before !,,
['children toys table'],"He saw the same children , and the same toys on the table ; and there was the same grand castle with the pretty little Dancer .",,
['standing leg high'],She was still standing on one leg with the other high in the air ; she too was steadfast .,,
['shed tin tears'],"That touched the Tin-soldier , he was nearly going to shed tin-tears ; but that would not have been fitting for a soldier .",,
['soldier threw stove'],"All at once one of the little boys took up the Tin-soldier , and threw him into the stove , giving no reasons ; but doubtless the little black imp in the snuff-box was at the bottom of this too .",,
['heat truly terrible'],"There the Tin-soldier lay , and felt a heat that was truly terrible ; but whether he was suffering from actual fire , or from the ardour of his passion , he did not know .",,
['colour disappeared happened'],"All his colour had disappeared ; whether this had happened on his travels or whether it was the result of trouble , who can say ?",,
['steadfast gun shoulder'],"He looked at the little lady , she looked at him , and he felt that he was melting ; but he remained steadfast , with his gun at his shoulder .",,
['stove burst flames'],"Suddenly a door opened , the draught caught up the little Dancer , and off she flew like a sylph to the Tin-soldier in the stove , burst into flames -- and that was the end of her !",,
['maid taking ashes'],"Then the Tin-soldier melted down into a little lump , and when next morning the maid was taking out the ashes , she found him in the shape of a heart .",,
['gilt rose burnt'],"There was nothing left of the little Dancer but her gilt rose , burnt as black as a cinder .",,
